No.    logP     B      V      J      H      K     36     45    FeH  BV  HV
    1  1.654  14.61  13.41  11.438 10.962 10.835 10.701 10.790 -0.44  1.20 HV877
    2  1.566  14.38  13.35  11.590 11.157 11.031 10.923 10.976 -0.14  1.03 HV879
    3  0.968  15.11  14.43  13.210 12.857 12.777 12.681 12.680 -0.29  0.68 HV971
    4  1.119  15.37  14.52  12.972 12.575 12.454 12.356 12.367 -0.21  0.85 HV997
    5  1.382  14.87  13.83  12.063 11.625 11.510 11.392 11.458 -0.59  1.04 HV1013
    6  1.425  14.88  13.74  12.041 11.618 11.498 11.386 11.441 -0.28  1.14 HV1023
    7  1.112  15.75  14.86  13.263 12.860 12.736 12.633 12.620 -0.38  0.89 HV2260
    8  1.563  13.32  12.64  11.237 10.868 10.770 10.663 10.700 -0.42  0.68 HV2294
   10  1.134  14.92  14.17  12.802 12.450 12.352 12.282 12.267 -0.49  0.75 HV2352
   11  1.684  13.46  12.62  10.942 10.534 10.413 10.297 10.355 -0.62  0.84 HV2369
   13  1.228  14.71  13.96  12.489 12.102 11.999 11.879 11.910 -0.24  0.75 HV2580
   14  0.941  15.31  14.69  13.405 13.053 12.977 12.887 12.855 -0.28  0.62 HV2733
   15  1.283  15.10  14.09  12.399 11.954 11.830 11.734 11.767 -0.10  1.01 HV2793
   16  1.897  13.54  12.30  10.428 09.976 09.851 09.744 09.824 -0.38  1.34 HV2827
   17  1.244  15.63  14.62  12.747 12.276 12.127 11.988 12.008 -0.16  1.01 HV2836
   18  1.041  15.49  14.70  13.330 12.979 12.897 12.810 12.785 -0.19  0.79 HV2854
   19  1.997  13.12  11.92  10.027 09.602 09.466 09.345 09.376 -0.25  1.20 HV5479
   20  0.680  15.99  15.35  14.138 13.830 13.758 13.65  13.63  -0.60  0.64 HV6093
   21  0.941  15.50  14.79  13.365 13.025 12.939 12.837 12.832 -0.35  0.71 HV12452
   22  0.911  15.58  14.85  13.496 13.151 13.061 12.975 12.953 -0.36  0.73 HV12700 

